id,issue_type,label,text_similarity,issue_match,location_match,duplicate_score,duplicate_score_percent,is_duplicate
35,Broken Street Light,DUPLICATE,0.6159,1.0,1.0,0.8079,80.79,True
36,Broken Street Light,DUPLICATE,0.6496,1.0,1.0,0.8248,82.48,True
37,Broken Street Light,DUPLICATE,0.7285,1.0,1.0,0.8642,86.42,True
38,Broken Street Light,DUPLICATE,0.6578,1.0,1.0,0.8289,82.89,True
39,Broken Street Light,DUPLICATE,0.7,1.0,1.0,0.85,85.0,True
40,Broken Street Light,DUPLICATE,0.6674,1.0,1.0,0.8337,83.37,True
41,Broken Street Light,DUPLICATE,0.6176,1.0,1.0,0.8088,80.88,True
42,Broken Street Light,DUPLICATE,0.6737,1.0,1.0,0.8369,83.69,True
43,Broken Street Light,DUPLICATE,0.6092,1.0,1.0,0.8046,80.46,True
44,Broken Street Light,DUPLICATE,0.7183,1.0,1.0,0.8591,85.91,True
45,Broken Street Light,DUPLICATE,0.6472,1.0,1.0,0.8236,82.36,True
46,Garbage,DUPLICATE,0.7502,1.0,1.0,0.8751,87.51,True
47,Garbage,DUPLICATE,0.6095,1.0,1.0,0.8048,80.48,True
48,Garbage,DUPLICATE,0.6766,1.0,1.0,0.8383,83.83,True
49,Garbage,DUPLICATE,0.5958,1.0,1.0,0.7979,79.79,True
50,Garbage,DUPLICATE,0.7301,1.0,1.0,0.8651,86.51,True
51,Pothole,NOT_DUPLICATE,0.7828,1.0,0.3333,0.7247,72.47,True
52,Pothole,NOT_DUPLICATE,0.7025,1.0,0.3333,0.6846,68.46,False
53,Pothole,NOT_DUPLICATE,0.7293,1.0,0.3333,0.698,69.8,False
54,Pothole,NOT_DUPLICATE,0.6598,1.0,0.3333,0.6632,66.32,False
55,Pothole,NOT_DUPLICATE,0.7469,1.0,0.3333,0.7068,70.68,True
56,Fallen Tree,NOT_DUPLICATE,0.6716,1.0,0.3333,0.6691,66.91,False
57,Fallen Tree,NOT_DUPLICATE,0.5736,1.0,0.3333,0.6201,62.01,False
58,Fallen Tree,NOT_DUPLICATE,0.5386,1.0,0.3333,0.6026,60.26,False
59,Fallen Tree,NOT_DUPLICATE,0.7322,1.0,0.3333,0.6995,69.95,False
60,Fallen Tree,NOT_DUPLICATE,0.5903,1.0,0.3333,0.6285,62.85,False
61,Broken Street Light,NOT_DUPLICATE,0.7083,1.0,0.3333,0.6875,68.75,False
62,Broken Street Light,NOT_DUPLICATE,0.5703,1.0,0.3333,0.6185,61.85,False
63,Broken Street Light,NOT_DUPLICATE,0.6213,1.0,0.3333,0.644,64.4,False
64,Broken Street Light,NOT_DUPLICATE,0.6676,1.0,0.3333,0.6671,66.71,False
65,Broken Street Light,NOT_DUPLICATE,0.4678,1.0,0.3333,0.5672,56.72,False
66,Garbage,NOT_DUPLICATE,0.6573,1.0,0.3333,0.662,66.2,False
67,Garbage,NOT_DUPLICATE,0.5671,1.0,0.3333,0.6169,61.69,False
68,Garbage,NOT_DUPLICATE,0.6977,1.0,0.3333,0.6822,68.22,False
69,Garbage,NOT_DUPLICATE,0.6556,1.0,0.3333,0.6612,66.12,False
70,Garbage,NOT_DUPLICATE,0.5905,1.0,0.3333,0.6286,62.86,False
71,Pothole,NOT_DUPLICATE,0.5769,1.0,1.0,0.7884,78.84,True
72,Pothole,NOT_DUPLICATE,0.7175,1.0,1.0,0.8588,85.88,True
73,Pothole,NOT_DUPLICATE,0.8484,1.0,1.0,0.9242,92.42,True
74,Pothole,NOT_DUPLICATE,0.6761,1.0,1.0,0.8381,83.81,True
75,Pothole,NOT_DUPLICATE,0.7752,1.0,1.0,0.8876,88.76,True
76,Fallen Tree,NOT_DUPLICATE,0.7185,1.0,1.0,0.8593,85.93,True
77,Fallen Tree,NOT_DUPLICATE,0.6262,1.0,1.0,0.8131,81.31,True
78,Fallen Tree,NOT_DUPLICATE,0.7124,1.0,1.0,0.8562,85.62,True
79,Fallen Tree,NOT_DUPLICATE,0.7448,1.0,1.0,0.8724,87.24,True
80,Fallen Tree,NOT_DUPLICATE,0.7564,1.0,1.0,0.8782,87.82,True
81,Broken Street Light,NOT_DUPLICATE,0.686,1.0,1.0,0.843,84.3,True
82,Broken Street Light,NOT_DUPLICATE,0.6869,1.0,1.0,0.8434,84.34,True
83,Broken Street Light,NOT_DUPLICATE,0.5821,1.0,1.0,0.791,79.1,True
84,Broken Street Light,NOT_DUPLICATE,0.6993,1.0,1.0,0.8496,84.96,True
85,Broken Street Light,NOT_DUPLICATE,0.7502,1.0,1.0,0.8751,87.51,True
86,Garbage,NOT_DUPLICATE,0.758,1.0,1.0,0.879,87.9,True
87,Garbage,NOT_DUPLICATE,0.7259,1.0,1.0,0.8629,86.29,True
88,Garbage,NOT_DUPLICATE,0.6358,1.0,1.0,0.8179,81.79,True
89,Garbage,NOT_DUPLICATE,0.7655,1.0,1.0,0.8827,88.27,True
90,Garbage,NOT_DUPLICATE,0.737,1.0,1.0,0.8685,86.85,True
91,Pothole,DUPLICATE,0.9283,1.0,1.0,0.9642,96.42,True
92,Pothole,DUPLICATE,0.7726,1.0,1.0,0.8863,88.63,True
93,Fallen Tree,DUPLICATE,0.5481,1.0,1.0,0.7741,77.41,True
94,Fallen Tree,DUPLICATE,0.6921,1.0,1.0,0.8461,84.61,True
95,Broken Street Light,DUPLICATE,0.5474,1.0,1.0,0.7737,77.37,True
96,Broken Street Light,DUPLICATE,0.664,1.0,1.0,0.832,83.2,True
97,Garbage,DUPLICATE,0.735,1.0,1.0,0.8675,86.75,True
98,Garbage,DUPLICATE,0.7181,1.0,1.0,0.859,85.9,True
99,Garbage,DUPLICATE,0.4554,1.0,1.0,0.7277,72.77,False
100,Pothole,DUPLICATE,0.7721,1.0,1.0,0.8861,88.61,True
